snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url,normalized_ride_name,base_ride_name,canonical_attraction_id,canonical_attraction_name,canonical_category,canonical_match_source,access_mode,is_single_rider,is_likely_entertainment,source_age_minutes,observed_wait_time_minutes,quality_flags,training_eligibility
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,327,Mickey's House and Meet Mickey Mouse,FALSE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,mickey's house and meet mickey mouse,Mickey's House and Meet Mickey Mouse,disneyland-mickeys-house-and-meet-mickey-mouse,Mickey's House and Meet Mickey Mouse,attraction,alias_exact,standby,FALSE,FALSE,4.7,,closed|possible_full_day_closed,status_model_only
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,684,Minnie's House,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,minnie's house,Minnie's House,disneyland-minnie-s-house,Minnie's House,attraction,auto_normalized,standby,FALSE,FALSE,4.7,0,open_zero|temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Mickey's Toontown,332,Roger Rabbit's Car Toon Spin,TRUE,10,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,roger rabbit's car toon spin,Roger Rabbit's Car Toon Spin,disneyland-roger-rabbit-s-car-toon-spin,Roger Rabbit's Car Toon Spin,attraction,auto_normalized,standby,FALSE,FALSE,4.7,10,temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,New Orleans Square,13958,Haunted Mansion,TRUE,13,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,haunted mansion,Haunted Mansion,disneyland-haunted-mansion,Haunted Mansion,attraction,auto_normalized,standby,FALSE,FALSE,4.7,13,,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,New Orleans Square,289,Pirates of the Caribbean,TRUE,15,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,pirates of the caribbean,Pirates of the Caribbean,disneyland-pirates-of-the-caribbean,Pirates of the Caribbean,attraction,auto_normalized,standby,FALSE,FALSE,4.7,15,,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Star Wars: Galaxy's Edge,6339,Millennium Falcon: Smugglers Run,TRUE,5,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,millennium falcon smugglers run,Millennium Falcon: Smugglers Run,disneyland-millennium-falcon-smugglers-run,Millennium Falcon: Smugglers Run,attraction,auto_normalized,standby,FALSE,FALSE,4.7,5,,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Star Wars: Galaxy's Edge,10903,Millennium Falcon: Smugglers Run Single Rider,TRUE,0,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,millennium falcon smugglers run single rider,Millennium Falcon: Smugglers Run,disneyland-millennium-falcon-smugglers-run,Millennium Falcon: Smugglers Run,attraction,auto_normalized,single_rider,TRUE,FALSE,4.7,0,open_zero|single_rider|single_rider_all_zero,single_rider_availability_only
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Star Wars: Galaxy's Edge,6340,Star Wars: Rise of the Resistance,TRUE,55,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,star wars rise of the resistance,Star Wars: Rise of the Resistance,disneyland-star-wars-rise-of-the-resistance,Star Wars: Rise of the Resistance,attraction,auto_normalized,standby,FALSE,FALSE,4.7,55,,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,287,Astro Orbitor,TRUE,10,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,astro orbitor,Astro Orbitor,disneyland-astro-orbitor,Astro Orbitor,attraction,auto_normalized,standby,FALSE,FALSE,4.7,10,,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,317,Autopia,TRUE,5,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,autopia,Autopia,disneyland-autopia,Autopia,attraction,auto_normalized,standby,FALSE,FALSE,4.7,5,,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,273,Buzz Lightyear Astro Blasters,TRUE,5,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,buzz lightyear astro blasters,Buzz Lightyear Astro Blasters,disneyland-buzz-lightyear-astro-blasters,Buzz Lightyear Astro Blasters,attraction,auto_normalized,standby,FALSE,FALSE,4.7,5,temporary_downtime,standby_wait_model
2026-07-08T16:45:18.839Z,2026-07-08 09:45:18,2026-07-08,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,274,Disneyland Monorail,TRUE,5,2026-07-08T16:40:35.000Z,2026-07-08 09:40:35,https://queue-times.com/parks/16/queue_times.json,disneyland monorail,Disneyland Monorail,disneyland-disneyland-monorail,Disneyland Monorail,attraction,auto_normalized,standby,FALSE,FALSE,4.7,5,temporary_downtime,standby_wait_model
