snapshot_utc,snapshot_park_datetime,snapshot_park_date,snapshot_timezone,park_id,park_name,land,ride_id,ride_name,is_open,wait_time_minutes,source_last_updated_utc,source_last_updated_park_datetime,source_url,normalized_ride_name,base_ride_name,is_single_rider,is_likely_entertainment,source_age_minutes,observed_wait_time_minutes,quality_flags,training_eligibility
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,276,Finding Nemo Submarine Voyage,TRUE,25,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,finding nemo submarine voyage,Finding Nemo Submarine Voyage,FALSE,FALSE,3.7,25,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,16627,Pixar Short Film Spotlight,FALSE,0,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,pixar short film spotlight,Pixar Short Film Spotlight,FALSE,FALSE,3.7,,closed|possible_full_day_closed,status_model_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,284,Space Mountain,TRUE,55,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,space mountain,Space Mountain,FALSE,FALSE,3.7,55,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,disneyland,Disneyland,Tomorrowland,286,Star Tours - The Adventures Continue,TRUE,15,2026-07-07T22:15:35.000Z,2026-07-07 15:15:35,https://queue-times.com/parks/16/queue_times.json,star tours - the adventures continue,Star Tours - The Adventures Continue,FALSE,FALSE,3.7,15,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,dca,Disney California Adventure,Avengers Campus,329,Guardians of the Galaxy - Mission: BREAKOUT!,TRUE,35,2026-07-07T22:15:39.000Z,2026-07-07 15:15:39,https://queue-times.com/parks/17/queue_times.json,guardians of the galaxy - mission breakout,Guardians of the Galaxy - Mission: BREAKOUT!,FALSE,FALSE,3.7,35,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,dca,Disney California Adventure,Avengers Campus,8843,WEB SLINGERS: A Spider-Man Adventure,TRUE,30,2026-07-07T22:15:39.000Z,2026-07-07 15:15:39,https://queue-times.com/parks/17/queue_times.json,web slingers a spider-man adventure,WEB SLINGERS: A Spider-Man Adventure,FALSE,FALSE,3.7,30,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,dca,Disney California Adventure,Avengers Campus,10907,WEB SLINGERS: A Spider-Man Adventure Single Rider,TRUE,0,2026-07-07T22:15:39.000Z,2026-07-07 15:15:39,https://queue-times.com/parks/17/queue_times.json,web slingers a spider-man adventure,WEB SLINGERS: A Spider-Man Adventure,TRUE,FALSE,3.7,0,open_zero|single_rider|single_rider_all_zero,single_rider_availability_only
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,dca,Disney California Adventure,Cars Land,13961,Luigi's Rollickin' Roadsters,TRUE,10,2026-07-07T22:15:39.000Z,2026-07-07 15:15:39,https://queue-times.com/parks/17/queue_times.json,luigi's rollickin' roadsters,Luigi's Rollickin' Roadsters,FALSE,FALSE,3.7,10,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,dca,Disney California Adventure,Cars Land,315,Mater's Junkyard Jamboree,TRUE,5,2026-07-07T22:15:39.000Z,2026-07-07 15:15:39,https://queue-times.com/parks/17/queue_times.json,mater's junkyard jamboree,Mater's Junkyard Jamboree,FALSE,FALSE,3.7,5,,standby_wait_model
2026-07-07T22:19:18.747Z,2026-07-07 15:19:18,2026-07-07,America/Los_Angeles,dca,Disney California Adventure,Cars Land,295,Radiator Springs Racers,TRUE,50,2026-07-07T22:15:39.000Z,2026-07-07 15:15:39,https://queue-times.com/parks/17/queue_times.json,radiator springs racers,Radiator Springs Racers,FALSE,FALSE,3.7,50,,standby_wait_model
